,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Anterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Posterior Frontal Plane,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Left,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Sagittal Plane Right,Phase,Phase,Phase,Phase
,afLeftThigh,afLeftKnee,afLeftAnkle,afLeftFoot,afRightThigh,afRightKnee,afRightAnkle,afRightFoot,pfWaist,pfLeftFemurHead,pfLeftKnee,pfLeftAnkle,pfRightFemurHead,pfRightKnee,pfRightAnkle,LeftArm,LeftHip,LeftKnee,LeftAnkle,LeftToe,RightArm,RightHip,RightKnee,RightAnkle,RightToe,RL - T4,RL - RunLab,LL - T4,LL - RunLab
44,1.72,4.86,21.72,11.28,5.37,2.89,12.04,356.78,5,1.84,0.35,5.41,1.24,8.11,13.12,52.33,157.87,165.31,87.74,7.42,20.28,174.27,131.86,125.94,5.43,Initial Swing,Midswing,Terminal Swing,Terminal Swing
45,2.03,3.79,17.22,7.83,3.52,6.47,5.94,0.02,4.77,1.41,1.74,2.58,0.97,10.25,,52.58,158.81,165.54,,,21.79,171.54,123.17,123.45,7.85,Midswing,Midswing,Initial Strike,Initial Strike
46,2.14,1.94,10.64,0.6,2.6,9.96,1.64,6.03,2.72,1.98,1.2,2.87,1.09,12.23,5.79,53.04,158.68,163.83,88.49,5.51,22.42,171.3,117.9,119.75,2.46,Midswing,Midswing,Loading Response,Loading Response
47,2.78,0.84,3.46,3.5,1.85,12.34,9.54,15.46,0.39,2.1,1.08,7.77,1.57,13.48,0.17,53.83,158.69,161.37,86.68,5.15,23.57,169.95,112.5,116.52,4.52,Midswing,Midswing,Loading Response,Loading Response
48,4.26,2.53,1.3,4.56,1.93,11.65,11.67,18.66,2.54,2.16,0.88,13.75,1.43,11.91,9.06,51.35,159.52,157.55,82.85,1.64,24.17,166.34,106.72,113.04,2.16,Midswing,Midswing,Loading Response,Loading Response
49,5.09,3.53,0.76,4.47,2.22,9.93,14.42,24.12,0.22,1.51,2.13,15.91,1.94,11.12,2.61,50.73,157.21,152.58,80.68,3.96,25.21,160.69,99.32,108.62,1.25,Midswing,Midswing,Loading Response,Loading Response
50,4.59,2.94,1.23,5.24,1.66,8.8,17,28.1,2.57,1.79,1.55,12.09,1.62,7.98,21.88,47.86,158.52,150.32,79.29,1.16,26.56,156.46,96.33,107.09,2.46,Midswing,Midswing,Loading Response,Loading Response
51,3.8,1.75,2.25,5.68,1,8.33,18.21,27.32,,2.82,0.24,9.24,0.89,7.38,14.59,46.49,161.12,150.31,77.91,4.17,27.27,150.64,92.54,103.02,4.32,Midswing,Midswing,Loading Response,Loading Response
52,3.71,1.21,2.49,5.74,1.55,4.47,15.27,22.22,1.99,2.54,0.42,8.34,2.64,5.28,5.72,44.34,157.14,147.93,75.68,3.44,28.19,148.22,91.76,99.17,6.71,Midswing,Midswing,Loading Response,Loading Response
53,3.67,1.04,1.75,3.19,1.4,2.57,13.44,20.94,0.81,1.11,2.57,10.51,3.47,2.6,11.47,42.26,156.76,145.31,72.71,2.04,30.15,144.54,91.5,,,Midswing,Midswing,Loading Response,Loading Response
